"Ordre";"IdPersona";"Sexe";"FranjaEdat";"Municipi";"DataAlta";"Estudiant";"Treballador";"Aturat";"Jubilat";"Derivats";"Voluntaris"
"301";"322";"H";"1";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"5";"0"
"302";"323";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"3";"0"
"303";"324";"D";"3";"Castellar del Vallès";"2015/01/07";"N";"Y";"N";"N";"4";"1"
"304";"325";"D";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"4";"1"
"305";"327";"H";"2";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"5";"0"
"306";"328";"D";"3";"Polinyà";"2015/01/07";"N";"N";"N";"N";"3";"0"
"307";"329";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"2";"0"
"308";"330";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"6";"0"
"309";"331";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"4";"0"
"310";"332";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"5";"1"
"311";"333";"H";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"1";"0"
"312";"334";"D";"1";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"6";"0"
"313";"335";"D";"1";"SABADELL";"2015/01/07";"Y";"N";"Y";"N";"4";"1"
"314";"336";"D";"3";"SABADELL";"2015/01/07";"N";"Y";"N";"N";"5";"0"
"315";"337";"D";"1";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"8";"0"
"316";"338";"H";"1";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"3";"0"
"317";"339";"D";"4";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"2";"1"
"318";"340";"D";"2";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"5";"0"
"319";"342";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"5";"1"
"320";"343";"H";"2";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"5";"0"
"321";"344";"H";"2";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"2";"0"
"322";"345";"H";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"5";"0"
"323";"346";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"4";"1"
"324";"347";"D";"3";"SABADELL";"2015/01/07";"N";"Y";"N";"N";"10";"0"
"325";"348";"D";"1";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"5";"0"
"326";"349";"D";"1";"SABADELL";"2012/11/21";"N";"Y";"N";"N";"5";"0"
"327";"350";"D";"3";"Sant Quirze";"2015/01/07";"N";"N";"N";"N";"7";"1"
"328";"351";"D";"2";"St. Quirze";"2015/01/07";"N";"Y";"N";"N";"6";"0"
"329";"352";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"2";"0"
"330";"353";"D";"3";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"2";"0"
"331";"354";"H";"3";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"3";"0"
"332";"355";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"4";"0"
"333";"356";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"6";"0"
"334";"357";"H";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"4";"1"
"335";"358";"H";"3";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"4";"0"
"336";"359";"H";"3";"Badia del Vallès";"2015/01/07";"N";"N";"N";"Y";"2";"0"
"337";"360";"D";"1";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"8";"1"
"338";"361";"D";"1";"Sabadell";"2015/01/07";"N";"N";"N";"N";"5";"0"
"339";"362";"D";"2";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"4";"0"
"340";"363";"D";"2";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"5";"1"
"341";"364";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"4";"0"
"342";"365";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"5";"1"
"343";"366";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"344";"367";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"345";"368";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"1"
"346";"369";"H";"3";"MOLLET DEL VALLÈS";"2015/01/07";"N";"N";"N";"N";"0";"0"
"347";"370";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"7";"1"
"348";"371";"D";"1";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"349";"372";"H";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"350";"373";"H";"3";"";"2015/01/07";"N";"N";"N";"N";"0";"0"
"351";"374";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"1"
"352";"375";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"353";"376";"D";"3";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"3";"1"
"354";"377";"D";"1";"Barberà del Vallès";"2015/01/07";"N";"N";"N";"N";"4";"0"
"355";"378";"H";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"5";"0"
"356";"379";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"5";"0"
"357";"380";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"5";"1"
"358";"381";"H";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"2";"0"
"359";"383";"H";"3";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"2";"0"
"360";"384";"D";"2";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"7";"0"
"361";"386";"D";"2";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"2";"0"
"362";"387";"H";"1";"SABADELL";"2015/01/07";"N";"Y";"N";"N";"4";"0"
"363";"388";"D";"3";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"6";"0"
"364";"389";"H";"1";"";"2015/01/07";"N";"N";"N";"N";"2";"0"
"365";"390";"D";"2";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"3";"0"
"366";"391";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"367";"392";"D";"3";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"3";"0"
"368";"393";"D";"4";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"3";"1"
"369";"394";"D";"3";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"6";"1"
"370";"395";"D";"3";"TERRASSA";"2015/01/07";"N";"Y";"N";"N";"4";"1"
"371";"396";"D";"2";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"5";"0"
"372";"397";"D";"3";"SANT QUIRZE DEL VALLÈS";"2015/01/07";"N";"Y";"N";"N";"6";"0"
"373";"398";"D";"2";"Sant Quirze";"2015/01/07";"N";"Y";"N";"N";"4";"0"
"374";"399";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"3";"1"
"375";"400";"D";"4";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"3";"0"
"376";"401";"H";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"4";"0"
"377";"402";"H";"1";"Sabadell";"2015/01/07";"N";"N";"N";"N";"6";"0"
"378";"403";"D";"1";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"4";"1"
"379";"404";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"0";"0"
"380";"405";"D";"2";"SABADELL";"2015/01/07";"N";"Y";"N";"N";"8";"0"
"381";"406";"D";"1";"Castellar del Vallès";"2015/01/07";"Y";"N";"N";"N";"4";"0"
"382";"407";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"4";"0"
"383";"408";"H";"1";"Sant Quirze del Vallès";"2015/01/07";"Y";"N";"N";"N";"4";"1"
"384";"409";"D";"1";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"3";"0"
"385";"410";"D";"1";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"3";"0"
"386";"411";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"4";"0"
"387";"412";"H";"4";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"4";"1"
"388";"413";"H";"2";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"3";"0"
"389";"414";"H";"2";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"5";"1"
"390";"415";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"2";"0"
"391";"416";"D";"1";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"2";"0"
"392";"417";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"5";"0"
"393";"418";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"3";"1"
"394";"419";"D";"2";"Sabadell";"2015/01/07";"Y";"N";"Y";"N";"5";"0"
"395";"422";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"5";"0"
"396";"423";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"4";"1"
"397";"424";"H";"2";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"3";"0"
"398";"425";"D";"1";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"5";"1"
"399";"426";"H";"1";"SABADELL";"2015/01/07";"Y";"Y";"N";"N";"3";"0"
"400";"427";"D";"2";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"4";"1"
"401";"428";"D";"2";"Barberà del Vallès";"2015/01/07";"Y";"N";"N";"N";"4";"0"
"402";"429";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"0";"0"
"403";"430";"D";"2";"SABADELL";"2013/02/12";"N";"N";"N";"N";"0";"0"
"404";"431";"H";"2";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"4";"0"
"405";"432";"D";"3";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"4";"1"
"406";"434";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"4";"0"
"407";"435";"D";"1";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"6";"0"
"408";"436";"D";"3";"SABADELL";"2015/01/07";"N";"Y";"N";"N";"7";"0"
"409";"437";"D";"2";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"5";"0"
"410";"438";"D";"2";"";"2015/01/07";"N";"Y";"N";"N";"5";"0"
"411";"439";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"412";"440";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"413";"441";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"4";"0"
"414";"442";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"1"
"415";"443";"D";"3";"SABADELL";"2015/01/07";"N";"Y";"N";"N";"6";"0"
"416";"444";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"417";"445";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"418";"446";"H";"2";"SABADELL";"2013/03/04";"N";"N";"N";"Y";"5";"0"
"419";"447";"D";"3";"Vacarisses";"2015/01/07";"N";"N";"N";"N";"0";"0"
"420";"448";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"421";"449";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"5";"0"
"422";"450";"D";"3";"Sant Quirze del Vallès";"2015/01/07";"N";"N";"N";"N";"0";"1"
"423";"451";"D";"4";"SABADELL";"2015/01/07";"N";"N";"N";"N";"4";"1"
"424";"452";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"1"
"425";"454";"D";"3";"Badia";"2015/01/07";"N";"N";"N";"Y";"3";"0"
"426";"455";"H";"3";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"6";"0"
"427";"456";"D";"1";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"3";"0"
"428";"457";"H";"2";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"3";"1"
"429";"458";"H";"4";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"2";"1"
"430";"459";"D";"2";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"4";"0"
"431";"460";"D";"2";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"6";"0"
"432";"461";"D";"1";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"3";"0"
"433";"462";"D";"2";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"2";"0"
"434";"463";"D";"1";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"7";"0"
"435";"464";"D";"2";"SABADELL";"2015/01/07";"N";"Y";"N";"N";"4";"0"
"436";"465";"D";"1";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"4";"0"
"437";"466";"D";"2";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"3";"0"
"438";"467";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"6";"1"
"439";"468";"D";"1";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"5";"0"
"440";"469";"D";"1";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"4";"1"
"441";"470";"H";"3";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"3";"0"
"442";"471";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"7";"0"
"443";"472";"D";"1";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"7";"1"
"444";"473";"D";"2";"Badia del Vallès";"2015/01/07";"N";"Y";"N";"N";"4";"0"
"445";"474";"D";"3";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"6";"0"
"446";"475";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"7";"0"
"447";"476";"D";"1";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"4";"0"
"448";"477";"D";"1";"Terrassa";"2015/01/07";"Y";"N";"N";"N";"4";"0"
"449";"478";"H";"2";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"5";"0"
"450";"479";"H";"2";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"9";"0"
"451";"480";"D";"2";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"6";"0"
"452";"481";"H";"2";"RUBÍ";"2015/01/07";"N";"Y";"N";"N";"6";"0"
"453";"482";"D";"4";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"0";"0"
"454";"483";"D";"2";"SANT QUIRZE DEL VALLÈS";"2015/01/07";"N";"N";"N";"N";"4";"0"
"455";"484";"H";"2";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"8";"1"
"456";"485";"H";"2";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"9";"1"
"457";"486";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"6";"1"
"458";"487";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"3";"0"
"459";"488";"D";"1";"SANT QUIRZE DEL VALLÈS";"2015/01/07";"Y";"N";"N";"N";"5";"0"
"460";"489";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"3";"1"
"461";"490";"D";"2";"SABADELL";"2015/01/07";"N";"Y";"N";"N";"3";"0"
"462";"491";"H";"1";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"4";"0"
"463";"492";"H";"2";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"8";"1"
"464";"493";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"3";"1"
"465";"494";"H";"2";"Sabadell";"2015/01/07";"Y";"N";"Y";"N";"7";"1"
"466";"495";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"5";"0"
"467";"496";"H";"2";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"2";"0"
"468";"497";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"3";"0"
"469";"498";"D";"2";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"5";"1"
"470";"499";"D";"1";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"4";"0"
"471";"500";"D";"1";"Rubí";"2015/01/07";"Y";"N";"N";"N";"5";"1"
"472";"501";"D";"2";"SABADELL";"2013/05/23";"N";"Y";"N";"N";"7";"1"
"473";"502";"H";"2";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"4";"0"
"474";"503";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"475";"504";"D";"1";"Sabadell";"2014/01/20";"N";"N";"N";"N";"7";"0"
"476";"505";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"477";"506";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"478";"507";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"479";"508";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"480";"509";"D";"3";"Cerdanyola del Vallès";"2015/01/07";"N";"N";"N";"N";"0";"0"
"481";"510";"D";"4";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"1"
"482";"512";"H";"2";"Mollet del Vallès";"2015/01/07";"N";"N";"N";"N";"0";"0"
"483";"513";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"1"
"484";"514";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"485";"515";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"486";"516";"D";"1";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"487";"517";"H";"1";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"488";"518";"D";"3";"Castellar del Vallès";"2015/01/07";"N";"N";"N";"N";"0";"0"
"489";"519";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"4";"1"
"490";"520";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"491";"523";"H";"3";"";"2015/01/07";"N";"N";"N";"Y";"3";"0"
"492";"524";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"5";"0"
"493";"525";"D";"1";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"6";"0"
"494";"526";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"5";"0"
"495";"527";"H";"2";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"4";"1"
"496";"528";"H";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"6";"1"
"497";"529";"D";"4";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"4";"0"
"498";"530";"H";"1";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"4";"0"
"499";"531";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"5";"0"
"500";"532";"D";"2";"SABADELL";"2015/01/07";"N";"Y";"N";"N";"5";"0"
"501";"534";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"502";"535";"H";"2";"Castellar del Vallès";"2015/01/07";"N";"N";"N";"N";"0";"0"
"503";"536";"H";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"504";"537";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"505";"538";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"506";"539";"H";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"507";"540";"D";"4";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"0";"0"
"508";"541";"H";"4";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"0";"0"
"509";"542";"D";"1";"Sentmenat";"2015/01/07";"N";"N";"N";"N";"0";"0"
"510";"543";"H";"3";"Castellar del Vallès";"2015/01/07";"N";"N";"N";"N";"0";"0"
"511";"544";"D";"4";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"0";"0"
"512";"545";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"513";"546";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"514";"547";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"515";"548";"D";"2";"Terrassa";"2015/01/07";"N";"N";"N";"N";"0";"0"
"516";"549";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"517";"550";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"518";"551";"H";"4";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"0";"0"
"519";"552";"H";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"520";"553";"H";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"521";"554";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"522";"555";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"N";"0";"0"
"523";"556";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"0";"0"
"524";"558";"H";"2";"TERRASSA";"2015/01/07";"N";"N";"N";"N";"4";"0"
"525";"559";"D";"3";"SABADELL";"2017/03/30";"N";"N";"N";"Y";"4";"1"
"526";"560";"D";"1";"Castellar del Vallès";"2015/01/07";"Y";"N";"N";"N";"6";"0"
"527";"561";"D";"1";"SABADELL";"2015/01/07";"N";"Y";"N";"N";"3";"1"
"528";"562";"H";"1";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"0";"0"
"529";"563";"D";"4";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"3";"0"
"530";"564";"H";"1";"SABADELL";"2013/07/02";"Y";"N";"N";"N";"7";"0"
"531";"565";"H";"2";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"4";"0"
"532";"566";"D";"4";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"7";"0"
"533";"567";"D";"1";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"5";"1"
"534";"568";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"7";"1"
"535";"569";"D";"2";"Terrassa";"2015/01/07";"N";"Y";"N";"N";"4";"0"
"536";"570";"H";"1";"";"2015/01/07";"N";"Y";"N";"N";"4";"0"
"537";"571";"D";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"4";"0"
"538";"572";"D";"1";"Sabadell";"2015/01/07";"N";"N";"N";"N";"4";"0"
"539";"573";"H";"2";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"5";"1"
"540";"574";"D";"2";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"6";"1"
"541";"575";"D";"2";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"4";"0"
"542";"576";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"4";"0"
"543";"577";"H";"2";"SABADELL";"2015/01/07";"N";"Y";"N";"N";"5";"1"
"544";"578";"H";"2";"St. Quirze del Vallès";"2015/01/07";"N";"Y";"N";"N";"6";"0"
"545";"579";"D";"2";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"6";"1"
"546";"580";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"6";"1"
"547";"582";"H";"3";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"5";"0"
"548";"583";"H";"1";"SABADELL";"2015/01/07";"N";"N";"N";"N";"5";"1"
"549";"584";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"4";"0"
"550";"585";"D";"1";"TERRASSA";"2015/01/07";"Y";"N";"N";"N";"5";"0"
"551";"586";"D";"1";"Sabadell";"2015/01/07";"N";"N";"N";"N";"2";"1"
"552";"587";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"4";"0"
"553";"588";"D";"3";"SANT QUIRZE DEL VALLÈS";"2015/01/07";"N";"Y";"N";"N";"3";"0"
"554";"589";"H";"3";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"5";"1"
"555";"590";"H";"2";"SANT CARLES DE LA RÀPITA";"2015/01/07";"N";"N";"N";"N";"5";"1"
"556";"591";"H";"1";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"5";"1"
"557";"592";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"4";"0"
"558";"593";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"8";"1"
"559";"595";"D";"2";"SABADELL";"2015/01/07";"N";"N";"N";"N";"3";"0"
"560";"596";"D";"3";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"6";"0"
"561";"597";"D";"1";"Sabadell";"2015/01/07";"N";"N";"N";"N";"6";"0"
"562";"598";"D";"1";"SABADELL";"2015/01/07";"Y";"Y";"N";"N";"9";"0"
"563";"599";"D";"3";"Sabadell";"2015/01/07";"Y";"Y";"N";"N";"5";"1"
"564";"601";"D";"3";"SABADELL";"2015/01/07";"N";"Y";"N";"N";"4";"0"
"565";"602";"D";"2";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"7";"1"
"566";"603";"H";"4";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"2";"1"
"567";"604";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"5";"0"
"568";"605";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"4";"1"
"569";"606";"D";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"6";"1"
"570";"607";"H";"3";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"4";"0"
"571";"608";"D";"2";"SABADELL";"2015/01/07";"Y";"N";"N";"N";"5";"0"
"572";"609";"D";"1";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"5";"0"
"573";"610";"D";"3";"Sant Cugat del Vallès";"2015/01/07";"N";"Y";"N";"N";"6";"0"
"574";"611";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"5";"1"
"575";"612";"D";"3";"SABADELL";"2015/01/07";"N";"N";"Y";"N";"0";"1"
"576";"613";"D";"3";"Barberà del Vallès";"2015/01/07";"N";"Y";"N";"N";"6";"0"
"577";"614";"D";"1";"Sabadell";"2015/01/07";"Y";"Y";"N";"N";"5";"0"
"578";"615";"D";"1";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"8";"0"
"579";"616";"H";"2";"SABADELL";"2013/10/10";"Y";"N";"N";"N";"5";"1"
"580";"617";"H";"1";"Montornés del Vallès";"2015/01/07";"N";"N";"Y";"N";"4";"0"
"581";"618";"D";"1";"Cerdanyola";"2015/01/07";"Y";"N";"N";"N";"3";"0"
"582";"619";"D";"2";"SABADELL";"2015/01/07";"Y";"Y";"N";"N";"4";"1"
"583";"621";"D";"3";"SABADELL";"2015/01/07";"N";"N";"N";"Y";"1";"1"
"584";"622";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"7";"1"
"585";"623";"D";"1";"Sant Cugat del Vallès";"2015/01/07";"Y";"N";"N";"N";"8";"0"
"586";"624";"H";"1";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"4";"0"
"587";"625";"H";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"5";"0"
"588";"626";"H";"3";"Sabadell";"2015/01/07";"N";"N";"N";"N";"4";"0"
"589";"628";"D";"2";"Sabadell";"2015/01/07";"N";"N";"N";"N";"1";"0"
"590";"629";"H";"2";"SENTMENAT";"2015/01/07";"Y";"Y";"N";"N";"2";"0"
"591";"630";"H";"2";"Sabadell";"2015/01/07";"Y";"N";"N";"N";"4";"1"
"592";"631";"D";"3";"Sabadell";"2015/01/07";"N";"N";"Y";"N";"3";"1"
"593";"632";"H";"3";"Sabadell";"2015/01/07";"N";"N";"N";"Y";"2";"0"
"594";"633";"D";"3";"Sabadell";"2015/01/07";"N";"Y";"N";"N";"1";"0"
